2682233 ; Empreendedorismo em Rede;04;240129;;;;;;;;;;;0.00;;
2682233 ; Empreendedorismo em Rede;05;240129;;;;;;;;;;;0.00;;
2682233 ; Empreendedorismo em Rede;06;240129;;;;;;;;;OBS:Isento de IVA ao abrigo do artº 9º do CIVA;;0.00;;
2682234 ; Central de Compras da CIMT;01;240130;;;;;;;;;;;0.00;;
2682234 ; Central de Compras da CIMT;02;240130;;;7421321;;;;2682234;;Central de Compras da CIMT;;0.00;;
2682234 ; Central de Compras da CIMT;03;240130;;;;;;;;;;;0.00;;
2682234 ; Central de Compras da CIMT;04;240130;;;;;;;;;;;0.00;;
2682234 ; Central de Compras da CIMT;05;240130;;;;;;;;;;;0.00;;
2682234 ; Central de Compras da CIMT;06;240130;;;;;;;;;OBS:Isento de IVA ao abrigo do artº 9º do CIVA;;0.00;;
2682235 ; GSIG-Médio Tejo - SIT2 - 2ª Fase;01;240131;;;;;;;;;;;0.00;;
2682235 ; GSIG-Médio Tejo - SIT2 - 2ª Fase;02;240131;;;7421322;;;;2682235;;GSIG-Médio Tejo - SIT2 - 2ª Fase;;0.00;;
2682235 ; GSIG-Médio Tejo - SIT2 - 2ª Fase;03;240131;;;;;;;;;;;0.00;;
2682235 ; GSIG-Médio Tejo - SIT2 - 2ª Fase;04;240131;;;;;;;;;;;0.00;;
2682235 ; GSIG-Médio Tejo - SIT2 - 2ª Fase;05;240131;;;;;;;;;;;0.00;;
2682235 ; GSIG-Médio Tejo - SIT2 - 2ª Fase;06;240131;;;;;;;;;OBS:Isento de IVA ao abrigo do artº 9º do CIVA;;0.00;;
2682236 ; Medio Tejo - Gestão em SIG;01;240132;;;;;;;;;;;0.00;;
2682236 ; Medio Tejo - Gestão em SIG;02;240132;;;7421322;;;;2682236;;Medio Tejo - Gestão em SIG;;0.00;;
2682236 ; Medio Tejo - Gestão em SIG;03;240132;;;;;;;;;;;0.00;;
2682236 ; Medio Tejo - Gestão em SIG;04;240132;;;;;;;;;;;0.00;;
2682236 ; Medio Tejo - Gestão em SIG;05;240132;;;;;;;;;;;0.00;;
2682236 ; Medio Tejo - Gestão em SIG;06;240132;;;;;;;;;OBS:Isento de IVA ao abrigo do artº 9º do CIVA;;0.00;;
AT CMA ; Assistencia Técnica - Municipio de Abrantes;01;240102;;00000001;;;;;;;;;0.00;;
AT CMA ; Assistencia Técnica - Municipio de Abrantes;02;240102;;00000001;7421321;;;;2682202;AT;Assistência Técnica QREN;;772.66;;
AT CMA ; Assistencia Técnica - Municipio de Abrantes;03;240102;;00000001;;;;;;;;;0.00;;
AT CMA ; Assistencia Técnica - Municipio de Abrantes;04;240102;;00000001;;;;;;;;;0.00;;
AT CMA ; Assistencia Técnica - Municipio de Abrantes;05;240102;;00000001;;;;;;;;;0.00;;
AT CMA ; Assistencia Técnica - Municipio de Abrantes;06;240102;;00000001;;;;;;;Obs: Isento de IVA nos termos do artº 9º do CIVA;;0.00;;
AT CMALC; Assistencia Técnica - Municipio de Alcanena;01;240102;;00000002;;;;;;;;;0.00;;
AT CMALC; Assistencia Técnica - Municipio de Alcanena;02;240102;;00000002;7421321;;;;2682202;AT;Assistência Técnica QREN;;325.03;;
AT CMALC; Assistencia Técnica - Municipio de Alcanena;03;240102;;00000002;;;;;;;;;0.00;;
AT CMALC; Assistencia Técnica - Municipio de Alcanena;04;240102;;00000002;;;;;;;;;0.00;;
AT CMALC; Assistencia Técnica - Municipio de Alcanena;05;240102;;00000002;;;;;;;;;0.00;;
AT CMALC; Assistencia Técnica - Municipio de Alcanena;06;240102;;00000002;;;;;;;Obs: Isento de IVA nos termos do artº 9º do CIVA;;0.00;;
AT CMC ; Assistencia Tecnica - Municipio de Constância;01;240102;;00000003;;;;;;;;;0.00;;
AT CMC ; Assistencia Tecnica - Municipio de Constância;02;240102;;00000003;7421321;;;;2682202;AT;Assistência Técnica QREN;;218.22;;
AT CMC ; Assistencia Tecnica - Municipio de Constância;03;240102;;00000003;;;;;;;;;0.00;;
AT CMC ; Assistencia Tecnica - Municipio de Constância;04;240102;;00000003;;;;;;;;;0.00;;
AT CMC ; Assistencia Tecnica - Municipio de Constância;05;240102;;00000003;;;;;;;;;0.00;;
AT CMC ; Assistencia Tecnica - Municipio de Constância;06;240102;;00000003;;;;;;;Obs: Isento de IVA nos termos do artº 9º do CIVA;;0.00;;
AT CME ; Assistência Tecnica - Municipio do Entrocamento;01;240102;;00000004;;;;;;;;;0.00;;
AT CME ; Assistência Tecnica - Municipio do Entrocamento;02;240102;;00000004;7421321;;;;2682202;AT;Assistência Técnica QREN;;221.80;;
AT CME ; Assistência Tecnica - Municipio do Entrocamento;03;240102;;00000004;;;;;;;;;0.00;;
AT CME ; Assistência Tecnica - Municipio do Entrocamento;04;240102;;00000004;;;;;;;;;0.00;;
AT CME ; Assistência Tecnica - Municipio do Entrocamento;05;240102;;00000004;;;;;;;;;0.00;;
AT CME ; Assistência Tecnica - Municipio do Entrocamento;06;240102;;00000004;;;;;;;Obs: Isento de IVA nos termos do artº 9º do CIVA;;0.00;;
AT CMFZ ; Assistência Técnica - Municipio de Ferreira de Zêzere;01;240102;;00000005;;;;;;;;;0.00;;
AT CMFZ ; Assistência Técnica - Municipio de Ferreira de Zêzere;02;240102;;00000005;7421321;;;;2682202;AT;Assistência Técnica QREN;;320.83;;
AT CMFZ ; Assistência Técnica - Municipio de Ferreira de Zêzere;03;240102;;00000005;;;;;;;;;0.00;;
AT CMFZ ; Assistência Técnica - Municipio de Ferreira de Zêzere;04;240102;;00000005;;;;;;;;;0.00;;
AT CMFZ ; Assistência Técnica - Municipio de Ferreira de Zêzere;05;240102;;00000005;;;;;;;;;0.00;;
AT CMFZ ; Assistência Técnica - Municipio de Ferreira de Zêzere;06;240102;;00000005;;;;;;;Obs: Isento de IVA nos termos do artº 9º do CIVA;;0.00;;
AT CMM ; Assistência Técnica - Municipio de Mação;01;240102;;00000006;;;;;;;;;0.00;;
AT CMM ; Assistência Técnica - Municipio de Mação;02;240102;;00000006;7421321;;;;2682202;AT;Assistência Técnica QREN;;0.00;;
AT CMM ; Assistência Técnica - Municipio de Mação;03;240102;;00000006;;;;;;;;;0.00;;
AT CMM ; Assistência Técnica - Municipio de Mação;04;240102;;00000006;;;;;;;;;0.00;;
AT CMM ; Assistência Técnica - Municipio de Mação;05;240102;;00000006;;;;;;;;;0.00;;
AT CMM ; Assistência Técnica - Municipio de Mação;06;240102;;00000006;;;;;;;Obs: Isento de IVA nos termos do artº 9º do CIVA;;0.00;;
AT CMO ; Assistência Técnica - Municipio de Ourém;01;240102;;00000007;;;;;;;;;0.00;;
AT CMO ; Assistência Técnica - Municipio de Ourém;02;240102;;00000007;7421321;;;;2682202;AT;Assistência Técnica QREN;;757.83;;
